"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Log in Scenario","SUCCESS","2022-07-04T12:56:40.6684919+07:00[Asia/Bangkok]","0.0","146.46"
"Login","Log Out Scenario","SUCCESS","2022-07-04T12:59:07.1437695+07:00[Asia/Bangkok]","0.0","20.42"
"Dashboard","See Patients Today Detail And Close Page Scenario","SUCCESS","2022-07-04T12:59:27.5995434+07:00[Asia/Bangkok]","0.0","9.03"
"Dashboard","See More Patients Today Page And Close Page Scenario","SUCCESS","2022-07-04T12:59:36.6484603+07:00[Asia/Bangkok]","0.0","10.12"
"Dashboard","See Finished Consultation Detail And Close Page Scenario","SUCCESS","2022-07-04T12:59:46.7934573+07:00[Asia/Bangkok]","0.0","10.77"
"Dashboard","See More Finished Consultation Page And Close Page Scenario","SUCCESS","2022-07-04T12:59:57.5869802+07:00[Asia/Bangkok]","0.0","9.85"
"Dashboard","Validate Date On Dashboard Page Scenario","SUCCESS","2022-07-04T13:00:07.4516833+07:00[Asia/Bangkok]","0.0","7.55"
"Patient","Tap The Back Icon On The Patient Page Scenario","SUCCESS","2022-07-04T13:00:15.0291562+07:00[Asia/Bangkok]","0.0","11.75"
"Patient","See Update Patient Data Page Scenario","SUCCESS","2022-07-04T13:00:26.7994886+07:00[Asia/Bangkok]","0.0","18.92"
"Sidebar","Sidebar Scenario","SUCCESS","2022-07-04T13:00:45.7396332+07:00[Asia/Bangkok]","0.0","20.5"
