"Story","Title","Result","Date","Stability","Duration (s)"
"Appointment","Create New Appointment With Registered Patient Scenario","SUCCESS","2022-06-21T10:37:37.2638023+07:00[Asia/Bangkok]","0.0","110.62"
"Appointment","Create New Appointment With Unregistered Patient Scenario","SUCCESS","2022-06-21T10:39:30.099241+07:00[Asia/Bangkok]","0.0","47.01"
"Appointment","Cancel Create New Appointment Scenario","SUCCESS","2022-06-21T10:40:18.0334762+07:00[Asia/Bangkok]","0.0","61.29"
"Appointment","Edit Existing Appointment Data Scenario","SUCCESS","2022-06-21T10:41:21.1443429+07:00[Asia/Bangkok]","0.0","31.63"
"Appointment","Cancel Edit Existing Appointment Data Scenario","SUCCESS","2022-06-21T10:41:53.7139297+07:00[Asia/Bangkok]","0.0","38.84"
"Appointment","Cancel Delete Appointment Data Scenario","SUCCESS","2022-06-21T10:42:33.7392665+07:00[Asia/Bangkok]","0.0","39.16"
"Appointment","Filter Appointment Pediatric Scenario","SUCCESS","2022-06-21T10:44:35.3765418+07:00[Asia/Bangkok]","0.0","10.72"
"Patient","Create New Patient Scenario","SUCCESS","2022-06-21T10:45:01.7199194+07:00[Asia/Bangkok]","0.0","10.98"
"Patient","Cancel Create New Patient Scenario","SUCCESS","2022-06-21T10:45:13.5571422+07:00[Asia/Bangkok]","0.0","8.24"
"Patient","Edit Patient Data Scenario","SUCCESS","2022-06-21T10:45:23.5079016+07:00[Asia/Bangkok]","0.0","14.36"
"Patient","Cancel Edit Patient Data Scenario","SUCCESS","2022-06-21T10:45:39.0373106+07:00[Asia/Bangkok]","0.0","8.28"
"Patient","Cancel Delete Patient Data Scenario","SUCCESS","2022-06-21T10:45:48.0429156+07:00[Asia/Bangkok]","0.0","8.75"
"Patient","Delete Patient Data Scenario","SUCCESS","2022-06-21T10:45:57.5667486+07:00[Asia/Bangkok]","0.0","6.98"
"Patient","Search Patient Based on Patient Name Scenario","SUCCESS","2022-06-21T10:46:05.3003991+07:00[Asia/Bangkok]","0.0","8.5"
"Patient","Search Patient Based on Patient Date of Birth Scenario","SUCCESS","2022-06-21T10:46:14.5478335+07:00[Asia/Bangkok]","0.0","7.81"
"Patient","Search Patient Based on Patient Gender Scenario","SUCCESS","2022-06-21T10:46:23.1292096+07:00[Asia/Bangkok]","0.0","7.62"
"Patient","Search Patient Based on Patient Blood Type Scenario","SUCCESS","2022-06-21T10:46:31.5078574+07:00[Asia/Bangkok]","0.0","8.26"
"Doctor","Create New Doctor Scenario","SUCCESS","2022-06-21T10:46:40.5608954+07:00[Asia/Bangkok]","0.0","11.16"
"Doctor","Cancel Create New Doctor Scenario","SUCCESS","2022-06-21T10:46:52.5626397+07:00[Asia/Bangkok]","0.0","8.34"
"Doctor","Edit Doctor Data Scenario","SUCCESS","2022-06-21T10:47:01.7162528+07:00[Asia/Bangkok]","0.0","10.64"
"Doctor","Cancel Edit Doctor Data Scenario","SUCCESS","2022-06-21T10:47:13.3783981+07:00[Asia/Bangkok]","0.0","10.21"
"Doctor","Cancel Delete Doctor Data Scenario","SUCCESS","2022-06-21T10:47:24.3401592+07:00[Asia/Bangkok]","0.0","8.68"
"Doctor","Delete Doctor Data Scenario","SUCCESS","2022-06-21T10:47:33.755788+07:00[Asia/Bangkok]","0.0","8.52"
"Doctor","Search Doctor Based on Doctor NID Scenario","SUCCESS","2022-06-21T10:47:43.0065183+07:00[Asia/Bangkok]","0.0","7.82"
"Doctor","Search Doctor Based on Doctor Department","SUCCESS","2022-06-21T10:47:51.5374645+07:00[Asia/Bangkok]","0.0","8.85"
"Doctor","Search Doctor Based on Doctor Name Scenario","SUCCESS","2022-06-21T10:48:01.1181204+07:00[Asia/Bangkok]","0.0","8.78"
"Doctor","Search Doctor Based on Doctor Phone Number Scenario","SUCCESS","2022-06-21T10:48:10.6261668+07:00[Asia/Bangkok]","0.0","8.54"
"Doctor","Filter Doctor General Scenario","SUCCESS","2022-06-21T10:48:19.8894097+07:00[Asia/Bangkok]","0.0","8.89"
"Doctor","Filter Doctor Neurology Scenario","SUCCESS","2022-06-21T10:48:29.5149734+07:00[Asia/Bangkok]","0.0","8.56"
"Doctor","Filter Doctor Cardiology Scenario","SUCCESS","2022-06-21T10:48:38.8029618+07:00[Asia/Bangkok]","0.0","8.87"
"Doctor","Filter Doctor Pediatric Scenario","SUCCESS","2022-06-21T10:48:48.4378418+07:00[Asia/Bangkok]","0.0","8.82"
"Doctor","Filter Doctor Gynecology Scenario","SUCCESS","2022-06-21T10:48:58.0120109+07:00[Asia/Bangkok]","0.0","10.55"
