"Story","Title","Result","Date","Stability","Duration (s)"
"Appointment","Create New Appointment With Unregistered Patient Scenario","SUCCESS","2022-06-20T16:27:45.0612428+07:00[Asia/Bangkok]","0.0","27.32"
"Appointment","Edit Existing Appointment Data Scenario","SUCCESS","2022-06-20T16:28:57.8279073+07:00[Asia/Bangkok]","0.0","29.46"
"Appointment","Cancel Edit Existing Appointment Data Scenario","SUCCESS","2022-06-20T16:29:28.1788458+07:00[Asia/Bangkok]","0.0","20.64"
"Appointment","Cancel Delete Appointment Data Scenario","SUCCESS","2022-06-20T16:29:49.7179999+07:00[Asia/Bangkok]","0.0","22.91"
"Appointment","Delete Appointment Data Scenario","SUCCESS","2022-06-20T16:30:13.3712935+07:00[Asia/Bangkok]","0.0","17.09"
"Appointment","Filter Appointment General Scenario","SUCCESS","2022-06-20T16:30:31.8721279+07:00[Asia/Bangkok]","0.0","15.66"
"Patient","Create New Patient Scenario","SUCCESS","2022-06-20T16:32:20.1751158+07:00[Asia/Bangkok]","0.0","19.83"
"Patient","Cancel Create New Patient Scenario","SUCCESS","2022-06-20T16:32:45.3137026+07:00[Asia/Bangkok]","0.0","13.09"
"Patient","Edit Patient Data Scenario","SUCCESS","2022-06-20T16:32:59.4016141+07:00[Asia/Bangkok]","0.0","15.53"
"Patient","Search Patient Based on Patient Name Scenario","SUCCESS","2022-06-20T16:33:47.2426415+07:00[Asia/Bangkok]","0.0","15.19"
"Doctor","Create New Doctor Scenario","SUCCESS","2022-06-20T16:34:36.3581646+07:00[Asia/Bangkok]","0.0","15.58"
"Doctor","Edit Doctor Data Scenario","SUCCESS","2022-06-20T16:35:01.9176203+07:00[Asia/Bangkok]","0.0","10.66"
