"Story","Title","Result","Date","Stability","Duration (s)"
"Doctor","Cancel Create New Doctor Scenario","SUCCESS","2022-06-21T10:46:52.5626397+07:00[Asia/Bangkok]","0.0","8.34"
"Doctor","Cancel Delete Doctor Data Scenario","SUCCESS","2022-06-21T10:47:24.3401592+07:00[Asia/Bangkok]","0.0","8.68"
"Doctor","Delete Doctor Data Scenario","SUCCESS","2022-06-21T10:47:33.755788+07:00[Asia/Bangkok]","0.0","8.52"
"Doctor","Search Doctor Based on Doctor NID Scenario","SUCCESS","2022-06-21T10:47:43.0065183+07:00[Asia/Bangkok]","0.0","7.82"
"Doctor","Search Doctor Based on Doctor Department","SUCCESS","2022-06-21T10:47:51.5374645+07:00[Asia/Bangkok]","0.0","8.85"
"Doctor","Search Doctor Based on Doctor Name Scenario","SUCCESS","2022-06-21T10:48:01.1181204+07:00[Asia/Bangkok]","0.0","8.78"
"Doctor","Search Doctor Based on Doctor Phone Number Scenario","SUCCESS","2022-06-21T10:48:10.6261668+07:00[Asia/Bangkok]","0.0","8.54"
"Doctor","Filter Doctor General Scenario","SUCCESS","2022-06-21T10:48:19.8894097+07:00[Asia/Bangkok]","0.0","8.89"
"Doctor","Filter Doctor Neurology Scenario","SUCCESS","2022-06-21T10:48:29.5149734+07:00[Asia/Bangkok]","0.0","8.56"
"Doctor","Filter Doctor Cardiology Scenario","SUCCESS","2022-06-21T10:48:38.8029618+07:00[Asia/Bangkok]","0.0","8.87"
"Doctor","Filter Doctor Pediatric Scenario","SUCCESS","2022-06-21T10:48:48.4378418+07:00[Asia/Bangkok]","0.0","8.82"
