"Story","Title","Result","Date","Stability","Duration (s)"
"Patient","Create New Patient Scenario","SUCCESS","2022-06-16T17:25:42.0231247+07:00[Asia/Bangkok]","0.0","46.91"
"Patient","Cancel Create New Patient Scenario","SUCCESS","2022-06-16T17:26:30.5463843+07:00[Asia/Bangkok]","0.0","16.2"
"Patient","Edit Patient Data Scenario","SUCCESS","2022-06-16T17:26:48.9998951+07:00[Asia/Bangkok]","0.0","18.51"
"Patient","Cancel Edit Patient Data Scenario","SUCCESS","2022-06-16T17:27:08.4200446+07:00[Asia/Bangkok]","0.0","11.53"
"Patient","Delete Patient Data Scenario","SUCCESS","2022-06-16T17:27:25.2460734+07:00[Asia/Bangkok]","0.0","14.54"
"Patient","Cancel Delete Patient Data Scenario","SUCCESS","2022-06-16T17:27:40.8257038+07:00[Asia/Bangkok]","0.0","11.1"
"Patient","Search Patient Based on Patient Name Scenario","SUCCESS","2022-06-16T17:27:52.6703389+07:00[Asia/Bangkok]","0.0","9.09"
"Patient","Search Patient Based on Patient Date of Birth Scenario","SUCCESS","2022-06-16T17:28:03.0571433+07:00[Asia/Bangkok]","0.0","26.98"
"Patient","Search Patient Based on Patient Gender Scenario","SUCCESS","2022-06-16T17:28:32.4301316+07:00[Asia/Bangkok]","0.0","17.77"
"Patient","Search Patient Based on Patient Blood Type Scenario","SUCCESS","2022-06-16T17:28:51.1830492+07:00[Asia/Bangkok]","0.0","46.74"
